filename|text
sample_001.wav|Xin chào, tôi là giọng nói mẫu số một
sample_002.wav|Đây là giọng nói mẫu thứ hai
sample_003.wav|Chào mừng bạn đến với hệ thống voice cloning
sample_004.wav|Hôm nay là một ngày đẹp trời
sample_005.wav|Công nghệ AI đang phát triển rất nhanh
sample_006.wav|Voice cloning là một ứng dụng thú vị
sample_007.wav|Chúng ta có thể clone giọng nói của bất kỳ ai
sample_008.wav|Chất lượng audio rất quan trọng
sample_009.wav|Sample rate nên là 22050Hz
sample_010.wav|Độ dài audio nên từ 3-10 giây
